set_key,property,product,type,product_fee,min_ltv,max_ltv,rate,min_term,max_term,min_rolled_months,max_rolled_months,min_loan,max_loan,min_icr,max_defer_int
Bridging,Residential,"BTL Single Property Investment",Fixed,2,0,60,0.75,3,18,3,18,100000,4000000,,
Bridging,Residential,"BTL Single Property Investment",Fixed,2,60,70,0.85,3,18,3,18,100000,4000000,,
Bridging,Residential,"BTL Single Property Investment",Fixed,2,70,75,0.95,3,18,3,18,100000,4000000,,
Bridging,Residential,"Large Single Property Investment",Fixed,2,0,60,0.85,3,18,3,18,4000001,20000000,,
Bridging,Residential,"Large Single Property Investment",Fixed,2,60,70,0.95,3,18,3,18,4000001,20000000,,
Bridging,Residential,"Large Single Property Investment",Fixed,2,70,75,1.05,3,18,3,18,4000001,20000000,,
Bridging,Residential,"BTL Portfolio Investment",Fixed,2,0,60,0.8,3,18,3,18,100000,50000000,,
Bridging,Residential,"BTL Portfolio Investment",Fixed,2,60,70,0.9,3,18,3,18,100000,50000000,,
Bridging,Residential,"BTL Portfolio Investment",Fixed,2,70,75,1,3,18,3,18,100000,50000000,,
Bridging,Residential,"Developer Exit Bridge (Multiple Units)",Fixed,2,0,60,0.8,3,18,3,18,100000,30000000,,
Bridging,Residential,"Developer Exit Bridge (Multiple Units)",Fixed,2,60,70,0.9,3,18,3,18,100000,30000000,,
Bridging,Residential,"Developer Exit Bridge (Multiple Units)",Fixed,2,70,75,1,3,18,3,18,100000,30000000,,
Bridging,Residential,"Permitted & Light Development Finance",Fixed,2,0,60,0.8,3,18,3,18,100000,20000000,,
Bridging,Residential,"Permitted & Light Development Finance",Fixed,2,60,70,0.9,3,18,3,18,100000,20000000,,
Bridging,Residential,"Permitted & Light Development Finance",Fixed,2,70,75,1,3,18,3,18,100000,20000000,,
Bridging,Residential,"BTL Single Property Investment",Variable,2,0,60,0.4,3,18,3,18,100000,4000000,,
Bridging,Residential,"BTL Single Property Investment",Variable,2,60,70,0.5,3,18,3,18,100000,4000000,,
Bridging,Residential,"BTL Single Property Investment",Variable,2,70,75,0.6,3,18,3,18,100000,4000000,,
Bridging,Residential,"Large Single Property Investment",Variable,2,0,60,0.5,3,18,3,18,4000001,20000000,,
